n,time(seconds)
100,0.0001619
200,0.0002105
300,0.0002353
400,0.0002637
500,0.0002997
600,0.0003372
700,0.0003839
800,0.0004338
900,0.0004912
1000,0.0005482
1100,0.0006237
1200,0.0007167
1300,0.0008866
1400,0.0010497
1500,0.001221
1600,0.001419
1700,0.0016369
1800,0.0019109
1900,0.0021899
2000,0.0024777
2100,0.0027577
2200,0.0030005
2300,0.0032781
2400,0.0035516
2500,0.0038586
2600,0.0041583
2700,0.0044683
2800,0.0048292
2900,0.0052042
3000,0.0055887
3100,0.0060891
3200,0.0065936
3300,0.0070494
3400,0.0074548
3500,0.0079177
3600,0.0083563
3700,0.0088211
3800,0.0092824
3900,0.0097851
4000,0.0102823
4100,0.0107681
4200,0.0113073
4300,0.0118905
4400,0.0124996
4500,0.0130875
4600,0.0136788
4700,0.0143117
4800,0.0149133
4900,0.0155602
5000,0.0162426
5100,0.0169068
5200,0.0176201
5300,0.0183752
5400,0.0191721
5500,0.0199243
5600,0.0206588
5700,0.0214612
5800,0.0222383
5900,0.0230334
6000,0.0238782
6100,0.0247749
6200,0.0256043
6300,0.0265145
6400,0.0274178
6500,0.0283033
6600,0.0291654
6700,0.0301395
6800,0.0310761
6900,0.0320992
7000,0.0329701
7100,0.0339799
7200,0.0349736
7300,0.0359464
7400,0.0369199
7500,0.0379802
7600,0.0389568
7700,0.0399322
7800,0.0409655
7900,0.0420445
8000,0.0431978
8100,0.044316
8200,0.0454199
8300,0.0466388
8400,0.0478113
8500,0.0490444
8600,0.0503196
8700,0.0516494
8800,0.0529832
8900,0.0543049
9000,0.0557057
9100,0.0570722
9200,0.0584816
9300,0.0598657
9400,0.0612841
9500,0.0625446
9600,0.0640655
9700,0.065374
9800,0.0666409
9900,0.0681882
10000,0.0697901
10100,0.0712837
10200,0.0728494
10300,0.0744552
10400,0.0762476
10500,0.0780634
10600,0.079758
10700,0.0815121
10800,0.0830686
10900,0.0848936
11000,0.0867279
11100,0.0885563
11200,0.0904486
11300,0.0922338
11400,0.0941497
11500,0.0963776
11600,0.0983432
11700,0.100189
11800,0.102341
11900,0.104397
12000,0.106653
12100,0.108699
12200,0.110753
12300,0.112762
12400,0.114759
12500,0.117098
12600,0.119311
12700,0.121649
12800,0.123869
12900,0.126086
13000,0.128234
13100,0.130449
13200,0.133154
13300,0.135341
13400,0.137786
13500,0.140195
13600,0.142353
13700,0.144885
13800,0.14709
13900,0.149812
14000,0.152368
14100,0.155092
14200,0.157239
14300,0.159988
14400,0.162802
14500,0.165682
14600,0.168425
14700,0.171106
14800,0.173506
14900,0.176259
15000,0.178787
15100,0.181216
15200,0.183952
15300,0.186857
15400,0.189749
15500,0.192459
15600,0.195422
15700,0.19825
15800,0.200907
15900,0.204064
16000,0.206946
16100,0.209938
16200,0.212989
16300,0.216004
16400,0.218999
16500,0.22214
16600,0.225484
16700,0.228656
16800,0.232277
16900,0.235436
17000,0.238442
17100,0.241744
17200,0.244932
17300,0.248822
17400,0.252306
17500,0.255818
17600,0.259356
17700,0.263274
17800,0.266887
17900,0.271255
18000,0.275262
18100,0.278988
18200,0.282552
18300,0.286709
18400,0.290671
18500,0.295117
18600,0.299699
18700,0.303507
18800,0.307672
18900,0.311945
19000,0.316159
19100,0.320716
19200,0.325215
19300,0.329809
19400,0.334175
19500,0.338773
19600,0.343541
19700,0.349076
19800,0.354175
19900,0.358764
20000,0.363832
20100,0.368659
20200,0.374095
20300,0.379534
20400,0.38482
20500,0.390202
20600,0.395878
20700,0.401126
20800,0.406639
20900,0.412124
21000,0.41775
21100,0.42333
21200,0.429273
21300,0.435032
21400,0.441292
21500,0.446932
21600,0.452108
21700,0.457468
21800,0.463136
21900,0.469354
22000,0.475115
22100,0.480958
22200,0.48719
22300,0.493188
22400,0.500183
22500,0.506243
22600,0.511849
22700,0.518814
22800,0.525244
22900,0.531253
23000,0.537315
23100,0.544893
23200,0.551246
23300,0.557835
23400,0.56475
23500,0.570927
23600,0.577761
23700,0.584636
23800,0.592077
23900,0.598504
24000,0.605665
24100,0.612947
24200,0.619249
24300,0.626051
24400,0.633581
24500,0.641234
24600,0.648538
24700,0.655917
24800,0.663457
24900,0.670908
25000,0.677735
25100,0.685295
25200,0.693717
25300,0.701166
25400,0.709123
25500,0.716747
25600,0.724631
25700,0.732436
25800,0.740468
25900,0.748532
26000,0.757076
26100,0.765587
26200,0.77374
26300,0.781219
26400,0.789946
26500,0.798121
26600,0.80617
26700,0.815059
26800,0.823501
26900,0.832174
27000,0.841315
27100,0.851374
27200,0.859318
27300,0.86811
27400,0.876008
27500,0.885621
27600,0.894811
27700,0.904584
27800,0.913872
27900,0.923586
28000,0.932914
28100,0.942746
28200,0.951749
28300,0.961546
28400,0.971384
28500,0.980807
28600,0.990865
28700,0.999634
28800,1.00978
28900,1.01916
29000,1.0299
29100,1.03984
29200,1.04936
29300,1.05923
29400,1.06802
29500,1.07753
29600,1.08715
29700,1.09746
29800,1.1077
29900,1.11842
30000,1.12908
30100,1.13989
